gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000149503,INCENP,inner centromere protein,False,INCENP
ENSG00000149532,CPSF7,cleavage and polyadenylation specific factor 7,False,CPSF7
ENSG00000149541,B3GAT3,"beta-1,3-glucuronyltransferase 3",False,B3GAT3
ENSG00000149547,EI24,EI24 autophagy associated transmembrane protein,False,EI24
ENSG00000149548,CCDC15,coiled-coil domain containing 15,False,CCDC15
ENSG00000149554,CHEK1,checkpoint kinase 1,False,CHEK1
ENSG00000149557,FEZ1,fasciculation and elongation protein zeta 1,False,FEZ1
ENSG00000149564,ESAM,endothelial cell adhesion molecule,False,ESAM
ENSG00000149571,KIRREL3,kirre like nephrin family adhesion molecule 3,False,KIRREL3
ENSG00000149575,SCN2B,sodium voltage-gated channel beta subunit 2,False,SCN2B
ENSG00000149577,SIDT2,SID1 transmembrane family member 2,False,SIDT2
ENSG00000149582,TMEM25,transmembrane protein 25,False,TMEM25
ENSG00000149591,TAGLN,transgelin,False,TAGLN
ENSG00000149596,JPH2,junctophilin 2,False,JPH2
ENSG00000149600,COMMD7,COMM domain containing 7,False,COMMD7
ENSG00000149609,C20orf144,chromosome 20 open reading frame 144,False,C20orf144
ENSG00000149633,KIAA1755,KIAA1755,False,KIAA1755
ENSG00000149636,DSN1,DSN1 component of MIS12 kinetochore complex,False,DSN1
ENSG00000149639,MTCL2,microtubule crosslinking factor 2,False,MTCL2
ENSG00000149657,LSM14B,LSM family member 14B,False,LSM14B
ENSG00000149658,YTHDF1,YTH N6-methyladenosine RNA binding protein F1,False,YTHDF1
ENSG00000149679,CABLES2,Cdk5 and Abl enzyme substrate 2,False,CABLES2
ENSG00000149716,LTO1,LTO1 maturation factor of ABCE1,False,LTO1
ENSG00000149743,TRPT1,tRNA phosphotransferase 1,False,TRPT1
ENSG00000149761,NUDT22,nudix hydrolase 22,False,NUDT22
ENSG00000149781,FERMT3,FERM domain containing kindlin 3,False,FERMT3
ENSG00000149782,PLCB3,phospholipase C beta 3,False,PLCB3
ENSG00000149792,MRPL49,mitochondrial ribosomal protein L49,False,MRPL49
ENSG00000149806,FAU,FAU ubiquitin like and ribosomal protein S30 fusion,False,FAU
ENSG00000149809,TM7SF2,transmembrane 7 superfamily member 2,False,TM7SF2
ENSG00000149823,VPS51,VPS51 subunit of GARP complex,False,VPS51
