gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000164970,FAM219A,FAM219A,family with sequence similarity 219 member A,lightgrey,lightgrey,8
ENSG00000164972,SPMIP6,SPMIP6,sperm microtubule inner protein 6,dimgrey,dimgrey,4
ENSG00000164975,SNAPC3,SNAPC3,small nuclear RNA activating complex polypeptide 3,snow,snow,12
ENSG00000164976,MYORG,MYORG,myogenesis regulating glycosidase,dimgrey,dimgrey,4
ENSG00000164978,NUDT2,NUDT2,nudix hydrolase 2,dimgrey,dimgrey,4
ENSG00000164983,TMEM65,TMEM65,transmembrane protein 65,dimgrey,dimgrey,4
ENSG00000164985,PSIP1,PSIP1,PC4 and SRSF1 interacting protein 1,snow,snow,12
ENSG00000164989,CCDC171,CCDC171,coiled-coil domain containing 171,darkgrey,darkgrey,1
ENSG00000165006,UBAP1,UBAP1,ubiquitin associated protein 1,dimgrey,dimgrey,4
ENSG00000165028,NIPSNAP3B,NIPSNAP3B,nipsnap homolog 3B,dimgrey,dimgrey,4
ENSG00000165029,ABCA1,ABCA1,ATP binding cassette subfamily A member 1,darkgrey,darkgrey,1
ENSG00000165030,NFIL3,NFIL3,"nuclear factor, interleukin 3 regulated",dimgrey,dimgrey,4
ENSG00000165046,LETM2,LETM2,leucine zipper and EF-hand containing transmembrane protein 2,dimgrey,dimgrey,4
ENSG00000165055,METTL2B,METTL2B,"methyltransferase 2B, tRNA N3-cytidine",lightgrey,lightgrey,8
ENSG00000165060,FXN,FXN,frataxin,dimgrey,dimgrey,4
ENSG00000165071,TMEM71,TMEM71,transmembrane protein 71,brown,brown,0
ENSG00000165072,MAMDC2,MAMDC2,MAM domain containing 2,brown,brown,0
ENSG00000165084,C8orf34,C8orf34,chromosome 8 open reading frame 34,dimgrey,dimgrey,4
ENSG00000165092,ALDH1A1,ALDH1A1,aldehyde dehydrogenase 1 family member A1,dimgrey,dimgrey,4
ENSG00000165097,KDM1B,KDM1B,lysine demethylase 1B,dimgrey,dimgrey,4
ENSG00000165102,HGSNAT,HGSNAT,heparan-alpha-glucosaminide N-acetyltransferase,darkgrey,darkgrey,1
ENSG00000165105,RASEF,RASEF,RAS and EF-hand domain containing,lightcoral,lightcoral,7
ENSG00000165113,GKAP1,GKAP1,G kinase anchoring protein 1,dimgrey,dimgrey,4
ENSG00000165115,KIF27,KIF27,kinesin family member 27,dimgrey,dimgrey,4
ENSG00000165118,QNG1,QNG1,Q-nucleotide N-glycosylase 1,darkgrey,darkgrey,1
ENSG00000165119,HNRNPK,HNRNPK,heterogeneous nuclear ribonucleoprotein K,darkgrey,darkgrey,1
ENSG00000165124,SVEP1,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",darkgrey,darkgrey,1
ENSG00000165138,ANKS6,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6,dimgrey,dimgrey,4
ENSG00000165152,PGAP4,PGAP4,post-GPI attachment to proteins GalNAc transferase 4,brown,brown,0
ENSG00000165156,ZHX1,ZHX1,zinc fingers and homeoboxes 1,brown,brown,0
ENSG00000165169,DYNLT3,DYNLT3,dynein light chain Tctex-type 3,dimgrey,dimgrey,4
ENSG00000165171,METTL27,METTL27,methyltransferase like 27,dimgrey,dimgrey,4
ENSG00000165175,MID1IP1,MID1IP1,MID1 interacting protein 1,dimgrey,dimgrey,4
ENSG00000165181,SHOC1,SHOC1,shortage in chiasmata 1,maroon,maroon,9
ENSG00000165185,KIAA1958,KIAA1958,KIAA1958,brown,brown,0
ENSG00000165194,PCDH19,PCDH19,protocadherin 19,indianred,indianred,6
ENSG00000165195,PIGA,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,dimgrey,dimgrey,4
ENSG00000165209,STRBP,STRBP,spermatid perinuclear RNA binding protein,brown,brown,0
ENSG00000165219,GAPVD1,GAPVD1,GTPase activating protein and VPS9 domains 1,darkgrey,darkgrey,1
