gene_id,dynamic_module,module,module_label
ENSG00000107874,dimgrey,dimgrey,4
ENSG00000107882,brown,brown,0
ENSG00000107890,snow,snow,12
ENSG00000107897,dimgrey,dimgrey,4
ENSG00000107902,dimgrey,dimgrey,4
ENSG00000107929,darkgrey,darkgrey,1
ENSG00000107937,snow,snow,12
ENSG00000107938,dimgrey,dimgrey,4
ENSG00000107949,darkgrey,darkgrey,1
ENSG00000107951,brown,brown,0
ENSG00000107954,darkgrey,darkgrey,1
ENSG00000107957,darkgrey,darkgrey,1
ENSG00000107959,dimgrey,dimgrey,4
ENSG00000107960,darkgrey,darkgrey,1
ENSG00000107968,darkgrey,darkgrey,1
ENSG00000107984,dimgrey,dimgrey,4
ENSG00000108010,dimgrey,dimgrey,4
ENSG00000108021,darkgrey,darkgrey,1
ENSG00000108039,dimgrey,dimgrey,4
ENSG00000108055,snow,snow,12
ENSG00000108061,darkgrey,darkgrey,1
ENSG00000108064,dimgrey,dimgrey,4
